firm_name,current_firm_crd,new_firm_crd_to_use,suggested_name
Arkadios Capital,290199,282710,Arkadios Capital
Ausdal Financial Partners Inc,148,7995,"Ausdal Financial Partners, Inc."
CFD Investments Inc,6396,25427,"CFD Investments, Inc."
Fortune Financial Services Inc,42534,42150,"Fortune Financial Services, Inc."
Founders Financial Securities LLC,152384,137945,"Founders Financial Securities, LLC"
Harbour Investments Inc,17522,19258,"Harbour Investments, Inc."
LaSalle St Securities LLC,122023,7191,"Lasalle St Securities, L.L.C."
Level Four Financial LLC,154438,25700,"Level Four Financial, LLC"
Lincoln Financial Distributors Inc,11487,145,"Lincoln Financial Distributors, Inc."
M Holdings Securities Inc,105842,43285,"M Holdings Securities, Inc."
Nationwide Investment Services Corporation,11249,7110,Nationwide Investment Services Corporation
Pacific Select Distributors LLC,17387,4452,"Pacific Select Distributors, LLC"
Packerland Brokerage Services Inc,24951,37031,"Packerland Brokerage Services, Inc."
PlanMember Securities Corporation,27603,11869,Planmember Securities Corporation
The O.N. Equity Sales Company,360,2936,The O.N. Equity Sales Company
