Id,Stage_Entered_Outreach__c,Stage_Entered_Call_Scheduled__c,Stage_Entered_Re_Engaged__c
006VS00000WTM9BYAX,2026-01-28T17:25:15.000Z,,2026-01-28T17:25:28.000Z
006VS00000SA4NLYA1,2025-11-07T17:22:10.000Z,,
006VS00000Pp1ghYAB,2025-11-07T17:22:15.000Z,,
006VS00000SA4UDYA1,2025-10-30T14:24:46.000Z,,
006VS00000SA4PNYA1,2025-11-07T17:22:35.000Z,,
006VS00000SA4NZYA1,2025-11-07T17:22:40.000Z,,
006VS00000SA4NwYAL,2025-11-05T16:39:49.000Z,,
006VS00000SA4OHYA1,2025-11-05T16:46:43.000Z,,
006VS00000SA4O3YAL,2025-11-07T17:22:50.000Z,,
006VS00000SA4U2YAL,2025-11-07T17:22:55.000Z,,
006VS00000SAQCPYA5,,2025-10-27T20:50:34.000Z,2025-10-28T00:01:34.000Z
006VS00000WZ437YAD,,,2026-01-30T20:29:29.000Z
006VS00000SA4NrYAL,,2025-12-12T22:33:13.000Z,2026-01-29T23:51:28.000Z
006VS00000VL1j4YAD,2026-01-22T19:50:00.000Z,,
006VS00000VmJ4wYAF,,,2026-01-08T19:13:49.000Z
006VS00000VL1mVYAT,2026-01-22T18:51:18.000Z,,
006VS00000SA4OVYA1,2025-11-07T17:25:31.000Z,2025-11-10T20:47:43.000Z,2025-11-10T21:05:48.000Z
006VS00000SAU25YAH,,,2025-11-07T23:05:40.000Z
006VS00000SA4NHYA1,,2025-12-03T19:52:12.000Z,2025-12-03T22:47:10.000Z
006VS00000SAU2cYAH,,,2025-10-30T16:51:51.000Z
006VS00000SA4ToYAL,2025-11-07T17:25:36.000Z,,
006VS00000SA4OnYAL,2025-11-07T17:25:48.000Z,,
006VS00000Pp1gqYAB,,2025-12-30T20:38:59.000Z,2026-01-06T20:25:10.000Z
006VS00000SA4PHYA1,2025-11-07T17:25:59.000Z,,
006VS00000VL1jKYAT,2026-01-27T20:23:51.000Z,,
006VS00000SA4P5YAL,2025-11-07T17:26:04.000Z,,
006VS00000SbR1BYAV,2025-11-07T17:26:13.000Z,,
006VS00000VL1mAYAT,2026-01-22T18:54:32.000Z,,
006VS00000SA4P4YAL,,2025-11-14T23:58:25.000Z,
006VS00000SAU1vYAH,,2025-11-24T17:41:44.000Z,
006VS00000SA4PXYA1,,2025-11-10T20:58:20.000Z,2025-11-25T21:55:06.000Z
006VS00000SA4QBYA1,,2025-11-12T22:46:13.000Z,
006VS00000Pp1gkYAB,,2025-12-03T00:15:08.000Z,2026-01-06T19:27:08.000Z
006VS00000SA4PWYA1,2025-11-07T17:26:23.000Z,,
006VS00000VL1mZYAT,2026-01-27T20:20:29.000Z,,
006VS00000SA4ODYA1,2025-11-07T17:26:32.000Z,,
006VS00000SA4P8YAL,,2025-11-14T23:59:26.000Z,
006VS00000SA4Q8YAL,2025-11-07T17:26:51.000Z,,
006VS00000VL1mQYAT,2026-01-22T19:13:08.000Z,,
006VS00000SA4TrYAL,2025-11-07T17:26:59.000Z,,
006VS00000VL1mcYAD,2026-01-27T20:20:13.000Z,,
006VS00000SA4NVYA1,,2025-12-12T22:33:38.000Z,
006VS00000SA4NUYA1,,2025-11-05T03:49:42.000Z,2025-11-08T21:38:36.000Z
006VS00000HmfqIYAR,,,2025-09-18T16:19:50.000Z
006VS00000VL1j7YAD,2026-01-22T19:44:49.000Z,,
006VS00000VL1fAYAT,2026-01-22T20:02:03.000Z,,
006VS00000VL1iGYAT,,,2025-12-30T21:23:54.000Z
006VS00000SA4PIYA1,,2025-11-03T14:57:24.000Z,
006VS00000VL1jXYAT,2026-01-27T20:19:55.000Z,,
006VS00000SA4OCYA1,,2025-12-12T23:10:10.000Z,
006VS00000VL1mhYAD,2026-01-22T18:44:36.000Z,,
006VS00000VL1iYYAT,2026-01-22T19:58:52.000Z,,
006VS00000SbR19YAF,,2025-11-11T19:46:16.000Z,
006VS00000RvXirYAF,,2025-10-30T19:47:04.000Z,2025-11-05T16:32:27.000Z
006VS00000SAU2MYAX,,,2025-11-07T23:24:36.000Z
006VS00000VL1hgYAD,,2026-01-22T20:53:01.000Z,
006VS00000SA4O2YAL,2025-11-06T20:30:37.000Z,2025-11-06T20:30:49.000Z,2025-11-06T21:11:21.000Z
006VS00000VL1mwYAD,2026-01-21T21:50:55.000Z,,
006VS00000SA4ThYAL,2025-11-07T17:24:19.000Z,,
006VS00000SbRpHYAV,2025-11-07T17:24:02.000Z,,
006VS00000SA4OMYA1,2025-11-07T17:23:46.000Z,,
006VS00000SA4NiYAL,,2025-11-14T22:00:24.000Z,
006VS00000VL1SHYA1,,2026-02-02T17:14:57.000Z,2026-02-02T17:15:24.000Z
006VS00000SA4NgYAL,,2025-11-03T19:10:39.000Z,2025-11-17T21:16:30.000Z
006VS00000VL1m8YAD,2026-01-27T20:19:28.000Z,,
006VS00000Pp1gUYAR,2025-11-07T17:23:38.000Z,,
006VS00000SA4OwYAL,2025-11-07T17:23:29.000Z,,
006VS00000SA4NWYA1,2025-11-07T17:23:18.000Z,,
006VS00000SA4U9YAL,2025-11-07T17:23:05.000Z,,
006VS00000SA4QFYA1,2025-11-07T17:22:45.000Z,,
006VS00000SA4PNYA1,2025-11-07T17:22:35.000Z,,
